ID,age,gender
sub-A00060480,32.0,0
sub-0003012,33.59,0
sub-IXI160,39.39767283,1
sub-IXI103,31.80835044,0
sub-A00038115,38.0,1
sub-A00055962,36.0,1
sub-IXI022,30.67214237,0
sub-0003032,33.28,1
sub-IXI634,34.05612594,0
sub-IXI621,31.61670089,0
sub-0027243,36.0,0
sub-0027256,33.0,0
sub-IXI023,33.07871321,1
sub-IXI571,38.88569473,1
sub-1181,35.0,1
sub-IXI077,36.47912389,1
sub-91622,33.0,0
sub-15213,32.0,1
sub-A00043299,34.0,1
sub-A00029304,32.0,0
sub-29618,35.58,0
sub-16607,35.0,1
sub-0051476,39.3,0
sub-82754,30.0,0
sub-IXI146,33.59342916,0
sub-0051562,37.0,0
sub-0050,33.0,0
sub-85152,35.0,1
sub-1070,31.0,0
sub-0025446,30.0,0
sub-A00060259,32.0,1
sub-0051563,38.0,0
sub-A00051774,30.0,0
sub-IXI110,37.76591376,0
sub-0003024,39.04,0
sub-85922,30.0,0
sub-A00059074,35.0,1
sub-0027123,32.0,0
sub-A00037511,31.0,0
sub-IXI195,37.82888433,0
sub-A00053455,38.0,1
sub-0027114,35.0,1
sub-0025157,33.0,0
sub-0003047,32.63,0
sub-IXI469,32.83778234,0
sub-0051343,30.0,0
sub-IXI179,30.14373717,0
sub-A00050940,31.0,0
sub-82071,31.0,0
sub-IXI183,30.17659138,0
sub-IXI085,31.84941821,1
sub-A00054914,39.0,1
sub-IXI378,38.83915127,1
sub-IXI307,33.00479124,0
sub-A00031871,33.0,0
sub-A00053473,31.0,0
sub-76160,34.0,0
sub-0678,33.0,1
sub-IXI060,30.69952088,0
sub-0027034,32.0,0
sub-A00056489,36.0,0
sub-56353,32.0,0
sub-0025133,38.56,1
sub-0025053,34.9,0
sub-A00059756,34.0,1
sub-IXI136,35.80561259,0
sub-A00037783,38.0,0
sub-0051370,32.0,1
sub-IXI059,34.13826146,0
sub-A00053854,33.0,1
sub-0051345,35.0,0
sub-A00034385,34.0,1
sub-IXI084,38.23408624,1
sub-0027111,31.0,0
sub-IXI242,31.37029432,0
sub-0025169,32.82,0
sub-0025089,32.26,0
sub-0548,31.0,1
sub-8735778,31.0,1
sub-0025044,35.73,0
sub-61241,30.0,1
sub-38579,35.0,1
sub-A00074000,30.0,0
sub-0027415,33.0,0
sub-0025032,33.45,0
sub-A00061806,37.0,0
sub-0025479,32.0,0
sub-0051561,36.0,0
sub-IXI083,30.89390828,0
sub-3893245,38.0,1
sub-40143,34.0,0
sub-81887,32.0,0
sub-2799329,30.0,1
sub-0027252,32.0,1
sub-0026032,31.0,0
sub-09633,30.0,1
sub-0051568,37.0,0
sub-1020,35.0,0
sub-0025468,31.0,1
sub-0051567,34.0,0
sub-0051569,36.0,0
sub-38088,38.0,1
sub-IXI024,37.69746749,1
sub-27797,31.0,0
sub-0025467,30.0,0
sub-29935,33.0,1
sub-0025473,34.0,1
sub-0028653,37.0,1
sub-IXI474,34.01232033,1
sub-0163,31.0,0
sub-16563,34.0,0
sub-0199,31.0,1
sub-A00032875,37.0,1
sub-72971,30.0,0
sub-90658,32.0,1
sub-86323,31.0,1
sub-IXI470,35.9835729,0
sub-1338,31.0,0
sub-IXI143,31.95619439,1
sub-IXI309,33.92197125,0
sub-A00061284,31.0,1
sub-56945,30.0,0
sub-12855,33.0,0
sub-IXI561,31.57837098,1
sub-28722,30.0,1
sub-0486,31.0,0
sub-26938,31.0,0
sub-IXI208,33.99589322,0
sub-A00062934,34.0,0
sub-0051564,39.0,0
sub-A00060006,31.0,1
sub-79611,30.0,0
sub-A00040193,35.0,1
sub-0003059,30.66,1
sub-33259,31.0,0
sub-0513,33.0,1
sub-IXI113,32.3613963,1
sub-A00051927,38.0,1
sub-17516,31.0,0
sub-0051369,32.0,0
sub-0028648,33.0,1
sub-66945,31.0,0
sub-IXI035,37.14442163,1
sub-IXI097,35.02258727,1
sub-18219,33.0,1
sub-IXI306,30.18206708,1
sub-IXI618,37.94934976,0
sub-0051119,30.724,0
sub-86146,30.0,1
sub-A00043721,36.0,1
sub-0003034,31.59,1
sub-36229,34.0,0
sub-37548,30.0,0
sub-IXI130,38.77344285,0
sub-A00054441,32.0,1
sub-0026017,39.0,0
sub-A00052181,37.0,1
sub-IXI348,38.58726899,1
sub-IXI388,33.34976044,0
sub-1320,35.0,0
sub-IXI049,31.85489391,0
sub-IXI601,35.51540041,0
sub-A00037725,30.0,0
sub-1435,33.0,1
sub-0027051,30.0,0
sub-IXI177,34.28884326,0
sub-IXI012,38.7816564,0
sub-54887,31.0,1
sub-IXI026,34.47775496,1
sub-75153,32.0,1
sub-IXI234,33.13347023,0
sub-0051362,33.0,0
sub-0051363,32.0,0
sub-23750,37.0,0
sub-A00056098,34.0,1
sub-54329,30.0,1
sub-IXI184,30.11909651,0
sub-IXI532,36.55304586,0
sub-IXI423,39.02258727,0
sub-A00056556,38.0,0
sub-0013,33.0,0
sub-IXI014,34.23682409,1
sub-1037,31.0,0
sub-0028651,31.0,0
sub-A00031605,39.0,1
sub-A00087118,39.0,1
sub-0027125,30.0,1
sub-0003021,37.42,1
sub-A00060632,33.0,0
sub-IXI568,33.68651608,1
sub-0025171,31.69,0
sub-1372,31.0,0
sub-0027278,32.0,0
