ID,age,gender
sub-IXI380,66.90759754,1
sub-OAS30424d0095,60.0,1
sub-OAS30157d1428,69.0,1
sub-OAS30169d0000,60.761124,1
sub-OAS30442d0977,64.175224,1
sub-OAS30080d0048,62.0,1
sub-34252,62.0,1
sub-OAS30887d0000,60.82683,1
sub-A00028266,65.0,1
sub-OAS30253d4746,67.0,1
sub-OAS30633d2223,60.0,1
sub-IXI284,63.04449008,1
sub-OAS30764d0000,67.93703,1
sub-A00062928,62.0,1
sub-OAS30499d2296,63.0,1
sub-OAS31094d0103,64.0,1
sub-OAS30876d1460,63.039013,1
sub-OAS30906d0035,69.0,1
sub-OAS30232d2006,65.67009,1
sub-OAS30044d0061,63.0,1
sub-0026120,62.0,1
sub-OAS31113d0000,69.223816,1
sub-OAS30038d3376,66.0,1
sub-A00039966,69.0,1
sub-OAS30178d1384,66.0,1
sub-OAS30562d0030,61.0,1
sub-OAS30403d3669,68.0,1
sub-A00061666,69.0,1
sub-OAS30165d0563,64.0,1
sub-OAS30080d1318,66.0,1
sub-IXI434,67.24161533,1
sub-IXI508,60.93086927,1
sub-OAS30660d1732,62.0,1
sub-IXI495,60.8678987,1
sub-OAS30253d3948,65.0,1
sub-OAS30040d2624,67.54278,1
sub-OAS31118d0000,61.82341,1
sub-OAS30765d0089,67.0,1
sub-OAS30876d2447,69.0,1
sub-A00031794,63.0,1
sub-OAS30303d2650,65.0,1
sub-OAS31118d2023,67.0,1
sub-OAS31113d0033,69.0,1
sub-OAS30272d3004,65.70842,1
sub-OAS30924d0000,68.41615,1
sub-OAS30755d0063,67.0,1
sub-OAS30832d2305,60.56126,1
sub-OAS30293d1221,60.0,1
sub-OAS30221d1143,62.0,1
sub-IXI197,60.46269678,1
sub-A00039041,60.0,1
sub-0026160,63.0,1
sub-0025404,65.0,1
sub-OAS30970d0001,68.28474,1
sub-OAS30455d4125,60.402466,1
sub-OAS30960d3518,61.0,1
sub-OAS30154d0000,65.188225,1
sub-OAS30025d0210,65.0,1
sub-OAS30341d0000,69.141685,1
sub-OAS30514d1526,68.0,1
sub-OAS30869d0077,67.0,1
sub-OAS30840d0000,67.512665,1
sub-IXI359,62.06160164,1
