ID,age,gender
sub-OAS30259d0000,65.0,1
sub-OAS30659d1668,61.0,1
sub-OAS30717d1418,61.0,1
sub-IXI382,65.908282,1
sub-OAS30393d7671,63.55373,1
sub-OAS30887d0064,61.0,1
sub-OAS30325d0032,63.0,1
sub-OAS30719d0992,60.903492,1
sub-OAS30216d2849,64.0,1
sub-OAS30454d0209,63.0,1
sub-OAS30108d1062,67.0,1
sub-OAS30455d2888,68.0,1
sub-OAS30595d0848,69.0,1
sub-OAS30454d0000,63.310062,1
sub-A00038414,60.0,1
sub-OAS30997d1356,62.0,1
sub-OAS30710d0058,65.0,1
sub-OAS30178d0049,62.0,1
sub-OAS30001d0757,67.0,1
sub-OAS30403d2868,66.0,1
sub-IXI356,64.10403833,1
sub-OAS30044d1319,66.0,1
sub-IXI559,67.81930185,1
sub-A00028552,61.0,1
sub-13789,60.0,1
sub-OAS30010d0068,68.0,1
sub-OAS30337d0064,68.0,1
sub-A00039640,68.0,1
sub-OAS30660d3464,67.0,1
sub-OAS31025d0385,65.93566,1
sub-OAS30595d0084,67.0,1
sub-OAS31001d0425,64.0,1
sub-OAS30289d0000,64.6078,1
sub-OAS30600d3618,63.0,1
sub-OAS30666d0000,62.006844,1
sub-IXI501,67.11293634,1
sub-IXI363,60.91991786,1
sub-OAS30189d0000,68.07118,1
sub-OAS30083d3827,69.0,1
sub-OAS30969d1345,69.0,1
sub-36052,63.0,1
sub-A00051835,60.0,1
sub-OAS30711d2521,65.0,1
sub-OAS30881d0804,67.0,1
sub-A00053369,62.0,1
sub-OAS30353d0963,60.0,1
sub-OAS30524d0000,69.47296,1
sub-OAS31057d1054,66.68309,1
sub-IXI385,64.64613279,1
sub-0026177,65.0,1
sub-OAS30168d0059,61.0,1
sub-OAS30111d0385,60.0,1
sub-A00033673,66.0,1
sub-OAS31001d1079,65.0,1
sub-IXI576,67.33196441,1
sub-OAS30003d2682,66.0,1
sub-OAS30949d0000,67.482544,1
sub-OAS31066d0077,63.0,1
sub-OAS31103d1829,60.0,1
sub-A00040784,60.0,1
sub-IXI334,69.28952772,1
sub-OAS30667d0888,68.0,1
sub-OAS30677d0000,69.35797,1
sub-A00040599,61.0,1
sub-OAS31014d0000,65.420944,1
sub-OAS30050d0000,69.883644,1
sub-OAS30137d3165,68.0,1
sub-A00035440,62.0,1
sub-OAS30844d0035,69.0,1
sub-OAS30820d0034,65.0,1
sub-OAS30558d0061,63.0,1
sub-IXI365,66.52703628,1
sub-OAS30959d0000,69.47844,1
sub-OAS30887d1407,64.0,1
sub-OAS30116d0017,61.0,1
sub-OAS30232d0695,67.0,1
sub-96752,63.0,1
sub-OAS30767d1285,69.0,1
sub-OAS30080d1262,62.8501,1
sub-0026149,61.0,1
sub-0026147,60.0,1
sub-OAS30579d2400,63.0,1
sub-OAS30569d4025,69.16632,1
sub-OAS30694d0779,63.0,1
sub-OAS30514d0057,64.0,1
sub-OAS30107d0940,69.0,1
sub-OAS30734d0097,66.0,1
sub-OAS30143d4041,69.0,1
sub-OAS30240d0865,65.0,1
sub-OAS30335d0109,66.0,1
sub-OAS30555d1301,68.0,1
sub-OAS30372d3464,63.0,1
sub-OAS31094d1195,67.0,1
sub-OAS30528d0000,64.870636,1
sub-OAS30992d0470,65.0,1
sub-A00028929,63.0,1
sub-OAS30242d0000,64.70911,1
sub-OAS30003d2669,66.0,1
sub-A00033963,66.0,1
sub-OAS30558d1429,67.0,1
sub-OAS30685d0032,68.0,1
sub-OAS30106d2982,68.0,1
sub-OAS30717d2476,64.0,1
sub-OAS30458d0063,63.0,1
sub-OAS31014d1363,69.0,1
sub-OAS30403d2378,65.0,1
sub-OAS30803d3424,61.0,1
sub-OAS30916d0000,68.73922,1
sub-A00038520,62.0,1
sub-OAS30688d0120,67.0,1
sub-OAS30048d3375,69.0,1
sub-OAS30927d0000,67.09377,1
sub-OAS31148d0254,61.0,1
sub-OAS31019d0076,67.0,1
sub-OAS30157d0712,65.804245,1
sub-OAS30956d1314,60.0,1
sub-OAS30777d1747,66.0,1
sub-OAS30964d0782,66.06708,1
sub-A00039974,60.0,1
sub-A00060923,64.0,1
sub-OAS31091d3661,69.998634,1
sub-OAS31066d0000,62.973305,1
sub-OAS30178d3381,62.44216,1
sub-A00073611,64.0,1
sub-OAS31141d0106,63.0,1
sub-OAS30734d0857,68.0,1
sub-0026138,62.0,1
sub-IXI364,67.16221766,1
sub-IXI511,64.57768652,1
sub-A00040580,60.0,1
sub-OAS30452d4501,60.0,1
sub-OAS30509d0000,64.525665,1
sub-OAS30714d0444,67.0,1
sub-OAS30858d0000,69.24846,1
sub-OAS30413d1529,64.30664,1
sub-OAS30507d2282,61.0,1
sub-OAS30530d0119,67.0,1
sub-OAS30916d0172,69.0,1
sub-OAS30102d0024,65.0,1
sub-OAS30103d3306,65.0,1
sub-OAS30579d1232,60.0,1
sub-A00013809,61.0,1
sub-OAS30004d2232,61.0,1
sub-0026151,64.0,1
sub-OAS30459d0000,62.33265,1
sub-IXI460,60.89527721,1
sub-0026135,62.0,1
sub-0026183,61.0,1
sub-OAS30052d0693,60.0,1
sub-IXI502,63.87679671,1
sub-IXI186,61.15263518,1
sub-OAS30551d1310,68.0,1
sub-OAS30189d0072,68.0,1
sub-OAS30725d2355,60.312115,1
sub-OAS30924d0069,68.0,1
sub-OAS30048d2292,66.0,1
sub-IXI239,62.9596167,1
sub-OAS31023d2484,60.0,1
sub-A00054038,68.0,1
sub-45569,63.0,1
sub-57025,68.0,1
sub-OAS30341d0025,69.0,1
sub-OAS30644d0136,69.0,1
sub-A00061485,64.0,1
sub-OAS30240d1871,68.0,1
sub-OAS30048d0983,62.0,1
sub-OAS30115d0000,68.555786,1
sub-OAS30245d0506,63.0,1
sub-0026010,62.0,1
sub-OAS31161d0068,62.0,1
sub-OAS30413d1533,68.0,1
sub-OAS30146d0272,69.0,1
sub-OAS30834d0098,67.0,1
sub-0026012,60.0,1
sub-OAS30969d1079,65.93566,1
sub-OAS30705d0070,66.0,1
sub-A00033734,63.0,1
sub-OAS30820d0000,65.76044,1
sub-93975,67.0,1
sub-OAS31069d0000,61.06776,1
sub-OAS31057d1054,69.0,1
sub-OAS31075d1150,65.106094,1
sub-OAS30484d0557,62.0,1
sub-98971,63.0,1
sub-0025985,61.0,1
sub-0025425,68.0,1
sub-OAS30956d2573,63.0,1
sub-OAS30445d0133,65.0,1
sub-IXI358,62.06160164,1
sub-OAS30259d0679,66.0,1
sub-OAS31120d0000,63.2115,1
sub-0026128,64.0,1
sub-IXI489,69.06776181,1
sub-A00027651,68.0,1
sub-OAS30508d0042,69.0,1
sub-OAS31101d0000,68.73648,1
sub-OAS31129d0055,68.0,1
sub-OAS30765d0763,67.06365,1
sub-OAS30816d0530,60.0,1
sub-0026159,61.0,1
sub-OAS30083d2882,66.0,1
sub-OAS30096d0024,67.0,1
sub-OAS30309d0094,66.0,1
sub-IXI548,66.32991102,1
sub-OAS30092d3727,68.0,1
sub-0026139,67.0,1
sub-OAS30086d0000,68.34497,1
sub-OAS30927d0145,67.0,1
sub-OAS30191d2352,68.0,1
sub-OAS30683d0000,61.535934,1
sub-OAS30612d1201,67.0,1
sub-OAS31101d0076,68.0,1
sub-OAS30143d3509,68.0,1
sub-OAS30253d3490,64.0,1
sub-OAS30694d0180,61.0,1
sub-OAS30413d0044,64.0,1
sub-OAS30663d0000,69.43463,1
sub-OAS30624d0035,68.0,1
sub-IXI357,63.54004107,1
sub-OAS31118d2835,69.0,1
sub-A00060185,68.0,1
sub-OAS30284d3510,64.0,1
sub-OAS30568d2326,61.0,1
sub-OAS30725d2456,67.0,1
sub-OAS30126d3465,65.0,1
sub-0026011,62.0,1
sub-OAS30829d6501,64.59959,1
sub-IXI479,60.0164271,1
sub-OAS30753d0035,61.0,1
sub-OAS31169d0620,64.0,1
sub-OAS30353d2635,64.0,1
sub-OAS30191d1075,61.637234,1
sub-0026187,60.0,1
sub-OAS30651d0253,67.0,1
sub-OAS30484d1065,64.0,1
sub-OAS30448d0101,67.0,1
sub-A00040286,65.0,1
sub-A00040343,63.0,1
sub-OAS31023d3561,63.0,1
sub-OAS31031d1119,63.0,1
sub-OAS30674d1845,65.420944,1
sub-OAS30964d0397,67.0,1
sub-OAS30130d0025,64.0,1
sub-OAS30036d0059,66.0,1
sub-OAS30677d0000,69.0,1
sub-OAS30191d1136,64.0,1
sub-OAS31123d0078,68.0,1
sub-OAS30052d1296,62.0,1
sub-OAS30602d1346,68.0,1
sub-OAS30289d0160,65.0,1
sub-OAS30683d0037,61.0,1
sub-OAS30001d0129,65.0,1
sub-OAS30822d0036,66.0,1
sub-OAS30276d3217,65.0,1
sub-OAS30881d1252,68.0,1
sub-OAS30038d4495,69.0,1
sub-OAS31005d1649,68.0,1
sub-OAS30108d0168,65.0,1
sub-OAS30345d0087,67.0,1
sub-OAS30581d3917,60.0,1
sub-OAS30620d2211,66.0,1
sub-OAS30154d0244,65.0,1
sub-A00064328,69.0,1
sub-OAS30845d0068,66.0,1
sub-OAS30168d0000,61.33881,1
sub-0026168,64.0,1
sub-OAS30367d3394,67.0,1
sub-OAS30885d0075,65.0,1
sub-OAS30152d0111,69.0,1
sub-A00066389,69.0,1
sub-OAS30098d0036,65.0,1
sub-A00028613,64.0,1
sub-OAS30324d0959,62.0,1
sub-93170,65.0,1
sub-OAS30663d0051,69.0,1
sub-OAS30722d1162,69.0,1
sub-0026173,62.0,1
sub-A00051456,62.0,1
sub-OAS30245d0058,62.0,1
sub-OAS30722d0049,66.0,1
sub-IXI516,60.41067762,1
sub-OAS30537d1596,65.71937,1
sub-A00062923,67.0,1
sub-OAS30571d2331,60.0,1
sub-OAS30677d0000,69.35797,1
sub-OAS30253d2541,61.0,1
sub-OAS31106d0065,67.0,1
sub-OAS30115d0138,68.0,1
sub-OAS30178d0516,63.0,1
sub-OAS30004d3457,64.0,1
sub-OAS30620d1176,63.0,1
sub-OAS30275d0000,65.04586,1
sub-OAS30362d0032,67.0,1
sub-OAS30674d1011,68.0,1
sub-OAS30042d0000,68.64887,1
sub-OAS31028d0000,66.72416,1
sub-OAS30602d1130,64.41889,1
sub-OAS30051d0200,66.0,1
sub-OAS30499d1164,60.0,1
sub-OAS30353d3421,66.0,1
sub-OAS30044d0000,62.92676,1
sub-OAS30863d0171,67.0,1
sub-0026170,62.0,1
sub-OAS30694d0000,61.051334,1
sub-OAS30216d3830,66.0,1
sub-OAS30103d4255,68.0,1
sub-OAS30901d0155,65.0,1
sub-OAS31118d0116,62.0,1
sub-OAS30264d0466,66.0,1
sub-OAS31122d1896,67.65229,1
sub-OAS30812d0055,62.0,1
sub-OAS30464d2445,67.0,1
sub-OAS31088d2045,69.0,1
sub-OAS30612d0039,64.0,1
sub-0026124,65.0,1
sub-OAS31146d0073,68.0,1
sub-OAS30765d0890,69.0,1
sub-99479,65.0,1
sub-OAS31025d1258,69.0,1
sub-OAS30484d0056,61.0,1
sub-A00039593,66.0,1
sub-OAS30464d0951,63.0,1
sub-OAS30828d1668,67.13757,1
sub-OAS30735d2484,64.0,1
sub-OAS30003d1631,63.0,1
sub-IXI459,62.4257358,1
sub-OAS30644d0000,69.07871,1
sub-OAS30881d0304,66.0,1
sub-OAS30651d1701,66.92129,1
sub-0025984,60.0,1
sub-OAS30442d0903,66.0,1
sub-0025367,68.0,1
sub-OAS31161d0000,62.62286,1
sub-OAS30276d1200,60.0,1
sub-OAS31023d2441,60.0,1
sub-OAS30401d0106,64.0,1
sub-OAS31118d2041,67.0,1
sub-OAS30417d0107,69.0,1
sub-OAS30876d1670,67.0,1
sub-OAS30042d0067,68.0,1
sub-0026156,63.0,1
sub-OAS30792d1556,63.0,1
sub-OAS30951d3786,67.0,1
sub-OAS30367d1540,62.0,1
sub-OAS30914d0108,68.0,1
sub-OAS30052d2709,66.0,1
sub-OAS30880d0554,68.0,1
sub-OAS30324d0866,60.05202,1
sub-OAS31057d1054,69.0,1
sub-IXI577,64.18617385,1
sub-IXI370,60.59685147,1
sub-OAS30093d1192,62.0,1
sub-OAS31084d0029,65.0,1
sub-OAS30949d0053,67.0,1
sub-A00028380,60.0,1
sub-58967,61.0,1
sub-45852,63.0,1
sub-OAS30768d0805,67.90965,1
sub-OAS30417d0093,69.0,1
sub-OAS30748d3268,63.0,1
sub-OAS30104d0328,68.0,1
sub-OAS30897d1217,69.0,1
sub-73490,68.0,1
sub-IXI296,63.97262149,1
sub-OAS30086d0000,68.0,1
sub-OAS30667d0115,66.0,1
sub-OAS31016d0126,66.0,1
sub-A00040567,65.0,1
sub-OAS30466d0058,66.0,1
sub-OAS30321d1916,65.71937,1
sub-0025420,60.0,1
sub-OAS30595d0000,66.896645,1
sub-IXI270,61.01574264,1
sub-OAS30125d0000,69.58248,1
sub-0025408,60.0,1
sub-IXI486,63.83572895,1
sub-OAS30107d0881,67.06365,1
sub-OAS31120d0119,63.0,1
sub-A00051678,66.0,1
sub-A00033752,65.0,1
sub-OAS30768d0024,67.0,1
sub-OAS30876d0126,63.0,1
sub-IXI369,60.59685147,1
sub-OAS31107d0912,69.0,1
sub-1793622,60.0,1
sub-OAS30992d0016,64.0,1
sub-OAS30181d0058,66.0,1
sub-A00061728,66.0,1
sub-OAS31031d1107,60.19165,1
sub-OAS30143d3507,68.0,1
sub-IXI467,66.9486653,1
sub-OAS30725d1182,63.0,1
sub-OAS31094d1994,63.978096,1
sub-IXI555,65.66735113,1
sub-OAS30275d1006,67.0,1
sub-OAS30455d0171,60.0,1
sub-0026132,67.0,1
sub-OAS30038d1214,60.0,1
sub-IXI305,62.50513347,1
sub-OAS30691d0056,69.0,1
sub-OAS31014d0133,65.0,1
sub-OAS30688d0672,68.0,1
sub-A00052234,66.0,1
sub-OAS30082d1700,61.0,1
sub-OAS31171d0752,68.0,1
sub-OAS30335d0693,68.0,1
sub-OAS30004d2229,61.0,1
sub-OAS30003d0558,60.0,1
sub-OAS30920d1125,65.0,1
sub-OAS30303d0910,60.0,1
sub-IXI277,61.33607118,1
sub-OAS31166d0947,61.0,1
sub-OAS30783d0056,69.0,1
sub-OAS30562d0494,62.0,1
sub-A00060602,67.0,1
sub-0026009,69.0,1
sub-OAS30711d3480,67.0,1
sub-A00073953,69.0,1
sub-0026014,66.0,1
sub-IXI227,67.05544148,1
sub-IXI523,63.41957563,1
sub-A00051517,67.0,1
sub-OAS30143d2235,65.0,1
sub-OAS30146d0798,68.446266,1
sub-0026154,62.0,1
sub-0025373,67.0,1
sub-OAS30367d2009,63.0,1
sub-28782,64.0,1
sub-OAS30275d0280,65.0,1
sub-OAS31118d2847,69.0,1
sub-98007,66.0,1
sub-OAS30272d0057,65.0,1
sub-IXI535,65.25941136,1
sub-OAS30777d0526,63.0,1
sub-A00052499,68.0,1
sub-OAS31068d1547,68.0,1
sub-0025598,60.0,1
sub-OAS30777d0385,61.90007,1
sub-OAS30256d3588,63.0,1
sub-OAS30466d0671,68.0,1
sub-OAS30303d1948,63.0,1
sub-A00060575,66.0,1
sub-OAS30793d1176,69.98494,1
sub-OAS30732d0074,69.0,1
sub-OAS30558d3379,63.70705,1
sub-OAS30161d2517,64.0,1
sub-OAS31045d1603,67.4935,1
sub-OAS30168d1268,64.0,1
sub-0026137,61.0,1
sub-OAS30169d0282,61.0,1
sub-IXI461,60.89527721,1
sub-OAS30904d2802,64.0,1
sub-OAS30962d0000,66.99247,1
sub-OAS30725d3121,68.0,1
sub-IXI328,61.78507871,1
sub-A00059664,63.0,1
sub-IXI480,60.0164271,1
sub-IXI392,62.45585216,1
sub-0026178,64.0,1
sub-OAS30677d0000,69.0,1
sub-A00038806,62.0,1
sub-OAS30908d0617,67.0,1
sub-OAS30888d0066,65.0,1
sub-0026121,66.0,1
sub-OAS30959d0123,69.0,1
sub-OAS31109d0000,68.0,1
sub-OAS30920d0000,62.491444,1
sub-IXI515,62.08898015,1
sub-OAS30775d1099,69.99316,1
sub-IXI558,66.85831622,1
sub-OAS30845d1266,69.0,1
sub-OAS30624d0000,68.796715,1
sub-OAS30537d0029,65.0,1
sub-OAS30642d1286,63.0,1
sub-A00037510,60.0,1
sub-OAS30871d0000,68.49281,1
sub-OAS30484d0069,61.0,1
sub-A00061787,69.0,1
sub-IXI452,63.40314853,1
sub-OAS30863d0000,66.52704,1
sub-OAS30178d2455,69.0,1
sub-OAS30863d1260,69.0,1
sub-IXI266,61.06502396,1
sub-OAS30832d2382,67.0,1
sub-OAS30981d0061,60.0,1
sub-OAS30321d0075,65.0,1
sub-0025378,61.0,1
sub-OAS30464d0077,60.0,1
sub-OAS30582d0153,68.0,1
sub-0025375,69.0,1
sub-OAS30620d1142,60.744694,1
sub-OAS30858d0060,69.0,1
sub-OAS30484d0000,61.141685,1
sub-OAS30402d0015,67.0,1
sub-OAS30232d0120,66.0,1
sub-99692,66.0,1
sub-OAS30514d1471,64.32307,1
sub-0026166,60.0,1
sub-0026158,61.0,1
sub-OAS30001d3025,65.149895,1
sub-OAS30509d0153,64.0,1
sub-OAS30528d0012,64.0,1
sub-OAS30311d0127,66.0,1
sub-OAS30291d1901,66.310745,1
sub-OAS30969d0047,66.0,1
sub-OAS30676d0861,63.0,1
sub-OAS30403d2379,65.0,1
sub-OAS30455d2887,68.0,1
sub-OAS30106d4437,60.361397,1
sub-OAS30274d3332,62.0,1
sub-OAS30048d4098,60.120464,1
sub-IXI546,60.07392197,1
sub-OAS30034d0044,65.0,1
sub-IXI537,67.45516769,1
sub-IXI483,63.39219713,1
sub-OAS30051d1286,69.0,1
sub-OAS30551d0104,64.0,1
sub-OAS30323d0836,69.0,1
sub-A00030990,66.0,1
sub-OAS30261d0785,68.0,1
sub-OAS31161d0056,62.0,1
sub-A00021039,67.0,1
sub-IXI506,69.68925394,1
sub-OAS31005d0000,63.520878,1
sub-IXI310,62.01779603,1
sub-OAS30725d0160,60.0,1
sub-IXI485,68.85147159,1
sub-IXI603,66.01505818,1
sub-OAS30372d4514,66.0,1
sub-OAS30010d0000,68.39699,1
sub-OAS30458d1174,66.0,1
sub-OAS30086d0000,68.34497,1
sub-A00039669,61.0,1
sub-OAS30676d2186,67.0,1
sub-OAS30667d0108,66.0,1
sub-OAS30233d3867,66.0,1
sub-OAS30107d0387,68.0,1
sub-OAS30767d0948,68.0,1
sub-OAS30458d0070,63.0,1
sub-OAS30635d0022,69.0,1
sub-OAS31069d0025,61.0,1
sub-A00061483,62.0,1
sub-0026182,61.0,1
sub-OAS30367d4337,69.0,1
sub-OAS31157d4924,61.0,1
sub-OAS30642d0154,60.0,1
sub-0026164,63.0,1
sub-IXI505,62.24503765,1
sub-OAS30962d0007,67.0,1
sub-OAS30367d3396,67.0,1
sub-OAS30114d0086,68.0,1
sub-OAS30840d0042,67.0,1
sub-OAS30920d1924,67.0,1
sub-OAS30343d4021,68.38604,1
sub-OAS31025d0410,67.0,1
sub-OAS31107d0757,66.62286,1
sub-IXI446,60.10951403,1
sub-OAS30038d2242,63.0,1
sub-OAS31068d2618,63.94798,1
sub-OAS30832d0225,61.0,1
sub-A00056372,68.0,1
sub-37140,69.0,1
sub-OAS30558d2148,69.0,1
sub-A00055353,68.0,1
sub-OAS30242d0137,65.0,1
sub-OAS30764d0055,68.0,1
sub-OAS30105d0056,69.0,1
sub-OAS31028d0058,66.0,1
sub-OAS30427d4348,66.0,1
sub-OAS30048d3367,69.0,1
sub-OAS30683d1337,65.0,1
sub-OAS30710d1179,68.0,1
sub-OAS30513d0119,68.0,1
sub-OAS30767d1019,65.72211,1
sub-OAS30906d0000,69.3525,1
sub-OAS31017d0072,64.0,1
sub-OAS30852d2307,69.0,1
sub-IXI455,68.48186174,1
sub-OAS31088d1850,63.989048,1
sub-OAS30221d0079,60.0,1
sub-OAS30719d1166,64.0,1
sub-OAS30735d1119,60.0,1
sub-OAS30537d1414,69.0,1
sub-OAS30845d1162,66.20671,1
sub-OAS31075d1199,68.0,1
sub-OAS31031d0069,60.0,1
sub-OAS30964d1135,69.0,1
sub-OAS30413d0561,65.0,1
sub-OAS30664d0226,66.0,1
sub-OAS31103d3821,65.0,1
sub-OAS31106d0000,67.17864,1
sub-21350,61.0,1
sub-OAS30908d0065,66.0,1
sub-OAS31019d0000,67.68788,1
sub-OAS30832d2369,67.0,1
sub-OAS30276d2408,63.0,1
sub-A00040741,66.0,1
